,,0,1,2,3,4,5,6,7,8,9,Global
title_length,mean,104.93076923076923,111.56521739130434,101.39111111111112,93.47,113.70053475935829,102.61538461538461,82.11111111111111,65.50295857988165,106.96,106.1875,98.19965870307168
title_length,std,16.965166529471187,8.973175268328111,22.46620301203071,14.368415249564563,17.284344017045935,18.608375388931314,14.021808410868802,16.364932114111095,18.611650877530906,9.961383772682721,23.09005279086918
title_length,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
title_word_count,mean,16.907692307692308,20.869565217391305,16.235555555555557,15.03,17.823529411764707,16.384615384615383,12.0,10.076923076923077,17.256,18.25,15.763651877133105
title_word_count,std,4.02404816391675,2.227192509288307,3.6635972000814236,2.6159733528678335,2.9486432733886603,3.4762241894596797,2.3979157616563596,2.4250675002878546,3.3309496853677647,2.380476142847617,4.120467291488555
title_word_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
title_useless_words_count,mean,2.3923076923076922,2.152173913043478,3.017777777777778,2.715,2.3315508021390374,2.830769230769231,2.3333333333333335,1.5502958579881656,3.392,2.9375,2.5648464163822524
title_useless_words_count,std,1.0076925352888169,0.4199148752014615,1.0772171672401183,0.7980976124478603,0.9141770206548834,1.0242257864057425,0.7071067811865475,0.9252492753149482,1.52345109071688,0.44253060157839186,1.1415870088086055
title_useless_words_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
title_useless_words_ratio,mean,0.14633076923076924,0.10328260869565219,0.18734222222222222,0.18225000000000002,0.13435828877005349,0.17433846153846155,0.19466666666666665,0.158698224852071,0.19584800000000002,0.1635625,0.16595819112627985
title_useless_words_ratio,std,0.06309613539456499,0.01644473984589096,0.06366130555837532,0.04799348259773713,0.05246160883309834,0.05030074456552461,0.035220732530712645,0.09171395780552655,0.07800744960289618,0.03164799888355239,0.06831219432550445
title_useless_words_ratio,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
title_uppercase_count,mean,6.553846153846154,3.369565217391304,7.142222222222222,6.125,8.83957219251337,6.123076923076923,3.3333333333333335,4.420118343195266,4.12,13.375,6.310580204778157
title_uppercase_count,std,3.608907022718721,0.6449356781769072,3.3027645947378628,2.9906680653972506,4.2699167513323495,2.3015463029483865,1.6583123951777001,1.3521842947113039,1.5892785947129922,4.964876634922564,3.5204597563683286
title_uppercase_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
title_uppercase_ratio,mean,0.06612307692307692,0.030391304347826085,0.06942666666666666,0.06631000000000001,0.07824598930481283,0.060076923076923076,0.04033333333333333,0.06997041420118343,0.040055999999999994,0.1236875,0.0653481228668942
title_uppercase_ratio,std,0.04431406856326438,0.006375223781238551,0.026302926235904415,0.032056230432596707,0.03690110909047874,0.020803626255646284,0.017428425057933374,0.021505100733675054,0.018730389314452808,0.038760321206099416,0.03304299357371872
title_uppercase_ratio,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
description_word_count,mean,84.71538461538462,23.304347826086957,180.89333333333335,194.255,278.3529411764706,133.47692307692307,169.44444444444446,70.92307692307692,65.064,43.0625,149.05972696245735
description_word_count,std,152.07430021122784,66.46230997597807,127.35530024306017,108.43755572891848,144.38532499750906,118.75659293439088,102.09323081271243,96.650573373019,57.44390587852331,37.80382476240555,140.63411904313023
description_word_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
description_useless_words_count,mean,17.56923076923077,4.043478260869565,36.0,38.5,46.81818181818182,25.846153846153847,34.77777777777778,16.698224852071007,12.224,6.375,28.5580204778157
description_useless_words_count,std,33.41260460799963,12.434640720787735,29.91908731419268,29.122165141221263,32.04128873458769,21.88194944556955,23.81584439914832,23.978612676251977,14.375642482136012,5.123475382979799,30.267199690754154
description_useless_words_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
description_useless_words_ratio,mean,0.0712923076923077,0.021130434782608697,0.19528,0.1884,0.15763101604278076,0.19227692307692307,0.1811111111111111,0.10557396449704141,0.14931999999999998,0.154375,0.148839590443686
description_useless_words_ratio,std,0.10079955135204127,0.05843081709571953,0.06433684236667421,0.07330345820576693,0.049148859912337105,0.05925488051953708,0.06361887385918671,0.11881977462496429,0.06175427371915765,0.08317601817831867,0.09199078149245744
description_useless_words_ratio,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
description_uppercase_count,mean,23.053846153846155,8.304347826086957,61.373333333333335,142.77,106.44919786096257,33.16923076923077,36.333333333333336,18.70414201183432,16.856,65.25,63.517918088737204
description_uppercase_count,std,46.293186254777915,25.876518368948915,65.80614930015496,276.49283633163736,66.04927564984526,27.54006696545123,38.67815921162743,30.44249136257848,17.43129554898686,85.9569659771679,131.66166115348224
description_uppercase_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
